official_id,official_name,city_group,address,phone,hours,official_url,gmb_name,gmb_url,gmb_status,has_takeout_order,has_delivery_order,takeout_providers,delivery_providers,other_providers,verification_note,verified_at
2931,南屯大墩店,台中門市,台中市南屯區南屯路二段202號,04-24737950,10:00~20:00(週一~五)、11:00~20:00(週六~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=2931,,"https://www.google.com/maps/place/%E8%8C%B6%E8%81%9ACHAGE%E5%8D%97%E5%B1%AF%E5%A4%A7%E5%A2%A9%E5%BA%97/@24.1367732,120.650414,17z/data=!3m1!4b1!4m6!3m5!1s0x34693d9c826926e3:0x4da4eb829740aec!8m2!3d24.1367732!4d120.650414!16s%2Fg%2F11p74yb47m?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",已自動查核,False,False,,,,以 Chrome 自動化查核 Google 搜尋與 Maps；未見「點餐外帶」或「點餐外送」按鈕。,2026-05-28
8552,台中大智店,台中門市,台中市東區大智路57號,04-22244603,10:00~20:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=8552,,"https://www.google.com/maps/place/%E8%8C%B6%E8%81%9ACHAGE%E5%8F%B0%E4%B8%AD%E5%A4%A7%E6%99%BA%E5%BA%97%EF%BD%9C%E9%A6%99%E7%89%87%E9%A0%98%E5%B0%8E%E5%93%81%E7%89%8C%EF%BC%BF%E5%8F%B0%E4%B8%AD%E6%89%8B%E6%90%96%E9%A3%B2%E6%96%99%E5%BA%97%E5%A4%96%E5%B8%B6%E5%A4%96%E9%80%81%E5%8A%A0%E7%9B%9F%E6%8E%A8%E8%96%A6/@24.1350247,120.6888146,17z/data=!3m1!4b1!4m6!3m5!1s0x34693dd20af8a573:0x58183e8c89fb1911!8m2!3d24.1350247!4d120.6888146!16s%2Fg%2F11vx7ftqj2?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",已自動查核,False,False,,,,以 Chrome 自動化查核 Google 搜尋與 Maps；未見「點餐外帶」或「點餐外送」按鈕。,2026-05-28
2937,大甲鎮瀾店,台中門市,台中市大甲區鎮瀾街163號1樓,04-26883652,10:00~23:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=2937,,"https://www.google.com/maps/place/%E8%8C%B6%E8%81%9ACHAGE%E5%A4%A7%E7%94%B2%E9%8E%AE%E7%80%BE%E5%BA%97/@24.3456947,120.6239183,17z/data=!3m1!4b1!4m6!3m5!1s0x346911137c1ca559:0x35e1eeba4ce9a86c!8m2!3d24.3456947!4d120.6239183!16s%2Fg%2F11lq24j_n8?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",已自動查核,False,False,,,,以 Chrome 自動化查核 Google 搜尋與 Maps；未見「點餐外帶」或「點餐外送」按鈕。,2026-05-28
3361,沙鹿中山店,台中門市,台中市沙鹿區中山路400號,04-26630867,10:00~22:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=3361,,"https://www.google.com/maps/place/%E8%8C%B6%E8%81%9ACHAGE%E6%B2%99%E9%B9%BF%E4%B8%AD%E5%B1%B1%E5%BA%97%EF%BD%9C%E9%A6%99%E7%89%87%E9%A0%98%E5%B0%8E%E5%93%81%E7%89%8C%EF%BC%BF%E5%8F%B0%E4%B8%AD%E6%89%8B%E6%90%96%E9%A3%B2%E6%96%99%E5%BA%97%E5%A4%96%E5%B8%B6%E5%A4%96%E9%80%81%E5%8A%A0%E7%9B%9F%E6%8E%A8%E8%96%A6+%E6%B2%99%E9%B9%BF%E9%A3%B2%E6%96%99%E5%BA%97%E3%80%81%E5%9C%A8%E5%9C%B0%E7%BE%8E%E9%A3%9F%E9%A3%B2%E6%96%99%E8%8C%B6%E9%A3%B2%E5%89%B5%E6%A5%AD%E5%8A%A0%E7%9B%9F/@24.2429029,120.5616081,17z/data=!3m1!4b1!4m6!3m5!1s0x3469156fd287fb13:0x318c74253b442c10!8m2!3d24.2429029!4d120.5616081!16s%2Fg%2F11tfns8g1g?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",已自動查核,False,False,,,,以 Chrome 自動化查核 Google 搜尋與 Maps；未見「點餐外帶」或「點餐外送」按鈕。,2026-05-28
1023,內湖康寧店,台北門市,台北市康寧路一段82號,02-27916985,10:00~22:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=1023,,"https://www.google.com/maps/place/%E8%8C%B6%E8%81%9ACHAGE%E5%85%A7%E6%B9%96%E5%BA%B7%E5%AF%A7%E5%BA%97/@25.0798814,121.5926181,17z/data=!3m1!4b1!4m6!3m5!1s0x3442adfeeb2c65cd:0x6dd370a6e52133d0!8m2!3d25.0798814!4d121.5926181!16s%2Fg%2F11h5n9jynf?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",已自動查核,False,False,,,,以 Chrome 自動化查核 Google 搜尋與 Maps；未見「點餐外帶」或「點餐外送」按鈕。,2026-05-28
2404,北投尊賢店,台北門市,北投區尊賢街209號,02-88663133,10:00~21:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=2404,,"https://www.google.com/maps/place/%E8%8C%B6%E8%81%9ACHAGE%E5%8C%97%E6%8A%95%E5%B0%8A%E8%B3%A2%E5%BA%97/@25.1153736,121.5078562,17z/data=!3m1!4b1!4m6!3m5!1s0x3442af6af5ff82ab:0x829939de7856cdc5!8m2!3d25.1153736!4d121.5078562!16s%2Fg%2F11mh_nvl7r?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",已自動查核,False,False,,,,以 Chrome 自動化查核 Google 搜尋與 Maps；未見「點餐外帶」或「點餐外送」按鈕。,2026-05-28
8756,南港玉成店,台北門市,台北市南港區南港路三段25號,02-26559332,11:00~19:00(週一~ 日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=8756,,"https://www.google.com/maps/place/%E8%8C%B6%E8%81%9ACHAGE%E5%8D%97%E6%B8%AF%E7%8E%89%E6%88%90%E5%BA%97/@25.0537524,121.5914183,17z/data=!3m1!4b1!4m6!3m5!1s0x3442abfbe753e98b:0x20af1fc31c0440a4!8m2!3d25.0537524!4d121.5914183!16s%2Fg%2F11wx87ky2b?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",已自動查核,False,False,,,,以 Chrome 自動化查核 Google 搜尋與 Maps；未見「點餐外帶」或「點餐外送」按鈕。,2026-05-28
394,台北長安店,台北門市,台北市大同區長安西路129號,02-25582729,10:30~20:30(週一~ 日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=394,,"https://www.google.com/maps/place/%E8%8C%B6%E8%81%9ACHAGE%E5%8F%B0%E5%8C%97%E9%95%B7%E5%AE%89%E5%BA%97/@25.051396,121.5152907,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a91c32e8f1c1:0x8c620762f90a350e!8m2!3d25.051396!4d121.5152907!16s%2Fg%2F11g4crdzyk?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",已自動查核,False,False,,,,以 Chrome 自動化查核 Google 搜尋與 Maps；未見「點餐外帶」或「點餐外送」按鈕。,2026-05-28
3359,文山木新店,台北門市,台北市文山區木新路二段262號,02-29390610,10:00~20:30(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=3359,,"https://www.google.com/maps/place/%E8%8C%B6%E8%81%9ACHAGE%E6%96%87%E5%B1%B1%E6%9C%A8%E6%96%B0%E5%BA%97/@24.9831694,121.5660206,17z/data=!3m1!4b1!4m6!3m5!1s0x3468018aae9811c5:0x968648a8e6b0a781!8m2!3d24.9831694!4d121.5660206!16s%2Fg%2F11q4m9yztm?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDUyNS4wIKXMDSoASAFQAw%3D%3D",已自動查核,False,False,,,,以 Chrome 自動化查核 Google 搜尋與 Maps；未見「點餐外帶」或「點餐外送」按鈕。,2026-05-28
1259,永康中華店,台南門市,台南市永康區中華路489號,06-3020158,9:30~22(週一~週六) 9:30~17:00(週日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=1259,茶聚CHAGE永康中華店,https://www.google.com/maps/search/?api=1&query=%E8%8C%B6%E8%81%9ACHAGE%E6%B0%B8%E5%BA%B7%E4%B8%AD%E8%8F%AF%E5%BA%97%20%E5%8F%B0%E5%8D%97%E5%B8%82%E6%B0%B8%E5%BA%B7%E5%8D%80%E4%B8%AD%E8%8F%AF%E8%B7%AF489%E8%99%9F,已自動查核,True,True,foodpanda、lin.ee,foodpanda、lin.ee、Uber Eats,lin.ee,依使用者提供的 Google 商家檔案截圖人工標註：外帶含 foodpanda、lin.ee；外送含 foodpanda、lin.ee、Uber Eats。,2026-05-28
